AA	volcanic rock [n]
ABNORMALITIES	ABNORMALITY, the state of being abnormal [n]
ABNORMALITY	the state of being abnormal [n]
ABNORMALLY	ABNORMAL, not normal or usual [adj]
ABNORMALS	ABNORMAL, not normal or usual [adj]
ABNORMITIES	ABNORMAL, not normal or usual [adj]
ABNORMITY	ABNORMAL, not normal or usual [adj]
ABNORMOUS	ABNORMAL, not normal or usual [adj]
ABOARD	onto a vehicle [adv] / onto a vehicle [adj]
ABODE	home, dwelling [n] / forebode [v]
ABODED	ABODE, home, dwelling [n]
ABODEMENT	ABODE, home, dwelling (archaic) [n]
ABODEMENTS	ABODE, home, dwelling [n]
ABODES	ABODE, home, dwelling [n]
ABODING	ABODE, home, dwelling [n]
ABOHM	unit of resistance [n]
ABOHMS	ABOHM, unit of resistance [n]
ABOIDEAU	dyke with sluicegate [n]
ABOIDEAUS	ABOIDEAU, dyke with sluicegate [n]
ABOIDEAUX	ABOIDEAU, dyke with sluicegate [n]
ABOIL	boiling [adj]
ABOITEAU	aboideau (dyke with sluicegate)
ABOITEAUS	ABOITEAU [n]
ABOITEAUX	ABOITEAU [n]
ABOLISH	do away with [v]
ABOLISHABLE	ABOLISH, do away with [v]
ABOLISHED	ABOLISH, do away with [v]
ABOLISHER	ABOLISH, do away with [v]
ABOLISHERS	ABOLISH, do away with [v]
ABOLISHES	ABOLISH, do away with [v]
ABOLISHING	ABOLISH, do away with [v]
ABOLISHMENT	ABOLISH, do away with [v]
ABOLISHMENTS	ABOLISH, do away with [v]
ABOLITION	act of abolishing [n]
ABOLITIONAL	ABOLITION, act of abolishing [n]
ABOLITIONARY	ABOLITION, act of abolishing [n]
ABOLITIONISM	ABOLITION, act of abolishing [n]
ABOLITIONISMS	ABOLITION, act of abolishing [n]
ABOLITIONIST	ABOLITION, act of abolishing [n]
ABOLITIONISTS	ABOLITION, act of abolishing [n]
ABOLITIONS	ABOLITION, act of abolishing [n]
ABOLLA	Roman cloak [n]
ABOLLAE	ABOLLA, Roman cloak [n]
ABOLLAS	ABOLLA, Roman cloak [n]
ABOMA	South American snake [n]
ABOMAS	ABOMA, South American snake [n]
ABOMASA	ABOMASUM, compartment of a stomach [n]
ABOMASAL	ABOMASUM, compartment of a stomach [n]
ABOMASI	ABOMASUS, abomasum [n]
ABOMASUM	compartment of a stomach [n]
ABOMASUS	abomasum [n]
ABOMINABLE	hateful, detestable [adj]
ABOMINABLENESS	ABOMINABLE, hateful, detestable [adj]
ABOMINABLY	ABOMINABLE, hateful, detestable [adj]
ABOMINATE	dislike intensely [v]
ABOMINATED	ABOMINATE, dislike intensely [v]
ABOMINATES	ABOMINATE, dislike intensely [v]
ABOMINATING	ABOMINATE, dislike intensely [v]
ABOMINATION	something abominable [n]
ABOMINATIONS	ABOMINATION, something abominable [n]
ABOMINATOR	ABOMINATE, dislike intensely [v]
ABOMINATORS	ABOMINATE, dislike intensely [v]
ABONDANCE	abundance (copious supply)
ABONDANCES	ABONDANCE [n]
ABONNEMENT	subscription [n]
ABONNEMENTS	ABONNEMENT, subscription [n]
ABOON	ABOVE, higher (than) [adv]
ABORAL	away from the mouth [adj]
ABORALLY	ABORAL, away from the mouth [adj]
ABORD	accost (archaic) [v]
ABORDED	ABORD, accost (archaic) (archaic) [v]
ABORDING	ABORD, accost (archaic) (archaic) [v]
ABORDS	ABORD, accost (archaic) (archaic) [v]
ABORE	ABEAR, bear or behave [v]
ABORIGEN	aborigine [n]
ABORIGENS	ABORIGEN, aborigine [n]
ABORIGIN	aborigine [n]
ABORIGINAL	indigenous [adj] / original inhabitant [n]
