AA	volcanic rock [n]
ABROSIA	condition involving refusal to eat [n]
ABROSIAS	ABROSIA, condition involving refusal to eat [n]
ABRUPT	sudden, unexpected [adj] / abyss [n]
ABRUPTER	ABRUPT, sudden, unexpected [adj]
ABRUPTEST	ABRUPT, sudden, unexpected [adj]
ABRUPTION	breaking off of a part [n]
ABRUPTIONS	ABRUPTION, breaking off of a part [n]
ABRUPTLY	ABRUPT, sudden, unexpected [adj]
ABRUPTNESS	ABRUPT, sudden, unexpected [adj]
ABRUPTNESSES	ABRUPT, sudden, unexpected [adj]
ABRUPTS	ABRUPT, sudden, unexpected [adj]
ABS	AB, abdominal muscle [n]
ABSCESS	inflamed swelling [n] / form a swelling [v]
ABSCESSED	ABSCESS, inflamed swelling [n]
ABSCESSES	ABSCESS, inflamed swelling [n]
ABSCESSING	ABSCESS, inflamed swelling [n]
ABSCIND	cut off [v]
ABSCINDED	ABSCIND, cut off [v]
ABSCINDING	ABSCIND, cut off [v]
ABSCINDS	ABSCIND, cut off [v]
ABSCISE	separate or be separated by abscission [v]
ABSCISED	ABSCISE, separate or be separated by abscission [v]
ABSCISES	ABSCISE, separate or be separated by abscission [v]
ABSCISIC	type of acid [adj]
ABSCISIN	plant hormone [n]
ABSCISING	ABSCISE, separate or be separated by abscission [v]
ABSCISINS	ABSCISIN, plant hormone [n]
ABSCISS	abscissa (cutting off)
ABSCISSA	cutting off [n]
ABSCISSAE	ABSCISSA, cutting off [n]
ABSCISSAS	ABSCISSA, cutting off [n]
ABSCISSE	abscissa (cutting off)
ABSCISSES	ABSCISSE [n]
ABSCISSIN	plant hormone [n]
ABSCISSINS	ABSCISSIN, plant hormone [n]
ABSCISSION	cutting off [n]
ABSCISSIONS	ABSCISSION, cutting off [n]
ABSCOND	leave secretly [v]
ABSCONDED	ABSCOND, leave secretly [v]
ABSCONDENCE	ABSCOND, leave secretly [v]
ABSCONDENCES	ABSCOND, leave secretly [v]
ABSCONDER	ABSCOND, leave secretly [v]
ABSCONDERS	ABSCOND, leave secretly [v]
ABSCONDING	act of absconding [n]
ABSCONDINGS	ABSCONDING, act of absconding [n]
ABSCONDS	ABSCOND, leave secretly [v]
ABSEIL	go down by a rope [v] / instance of abseiling [n]
ABSEILED	ABSEIL, go down by a rope [v]
ABSEILER	person who abseils [n]
ABSEILERS	ABSEILER, person who abseils [n]
ABSEILING	ABSEIL, go down by a rope [v]
ABSEILINGS	ABSEIL, go down by a rope [v]
ABSEILS	ABSEIL, go down by a rope [v]
ABSENCE	being away [n]
ABSENCES	ABSENCE, being away [n]
ABSENT	not present [adj] / stay away [v]
ABSENTED	ABSENT, not present [adj]
ABSENTEE	person who is not present [n]
ABSENTEEISM	persistent absence from work, school, etc [n]
ABSENTEEISMS	ABSENTEEISM, persistent absence from work, school, etc [n]
ABSENTEES	ABSENTEE, person who is not present [n]
ABSENTER	ABSENT, not present [adj]
ABSENTERS	ABSENT, not present [adj]
ABSENTING	ABSENT, not present [adj]
ABSENTLY	in an absent-minded manner [adv]
ABSENTMINDED	lost in thought [adj]
ABSENTMINDEDLY	ABSENTMINDED, lost in thought [adj]
ABSENTS	ABSENT, not present [adj]
ABSEY	alphabet [n]
ABSEYS	ABSEY, alphabet [n]
ABSINTH	absinthe (liqueur)
ABSINTHE	liqueur [n]
ABSINTHES	ABSINTHE, liqueur [n]
ABSINTHIATED	containing absinthe [adj]
ABSINTHISM	a disease resembling alcoholism [n]
ABSINTHISMS	ABSINTHISM, a disease resembling alcoholism [n]
ABSINTHS	ABSINTH [n]
ABSIT	leave from college [n]
ABSITS	ABSIT, leave from college [n]
ABSOLUTE	complete, perfect [adj] / something absolute [n]
ABSOLUTELY	ABSOLUTE, complete, perfect [adj]
ABSOLUTENESS	ABSOLUTE, complete, perfect [adj]
ABSOLUTENESSES	ABSOLUTE, complete, perfect [adj]
ABSOLUTER	ABSOLUTE, complete, perfect [adj]
ABSOLUTES	ABSOLUTE, complete, perfect [adj]
ABSOLUTEST	ABSOLUTE, complete, perfect [adj]
ABSOLUTION	remission of sins [n]
ABSOLUTIONS	ABSOLUTION, remission of sins [n]
ABSOLUTISE	absolutize (make absolute)
ABSOLUTISED	{absolutized}
ABSOLUTISES	{absolutizes}
ABSOLUTISING	{absolutizing}
ABSOLUTISM	government by a single ruler [n]
ABSOLUTISMS	ABSOLUTISM, government by a single ruler [n]
ABSOLUTIST	ABSOLUTISM, government by a single ruler [n]
ABSOLUTISTIC	ABSOLUTISM, government by a single ruler [n]
ABSOLUTISTS	ABSOLUTISM, government by a single ruler [n]
ABSOLUTIVE	grammatical case [n]
ABSOLUTIVES	ABSOLUTIVE, grammatical case [n]
ABSOLUTIZE	make absolute [v]
ABSOLUTIZED	ABSOLUTIZE, make absolute [v]
ABSOLUTIZES	ABSOLUTIZE, make absolute [v]
ABSOLUTIZING	ABSOLUTIZE, make absolute [v]
ABSOLUTORY	ABSOLUTION, remission of sins [n]
ABSOLVABLE	ABSOLVE, declare to be free from sin [v]
ABSOLVE	declare to be free from sin [v]
ABSOLVED	ABSOLVE, declare to be free from sin [v]
ABSOLVENT	something that absolves [n]
ABSOLVENTS	ABSOLVENT, something that absolves [n]
ABSOLVER	ABSOLVE, declare to be free from sin [v]
ABSOLVERS	ABSOLVE, declare to be free from sin [v]
ABSOLVES	ABSOLVE, declare to be free from sin [v]
ABSOLVING	ABSOLVE, declare to be free from sin [v]
ABSOLVITOR	legal decision absolving defendant [n]
ABSOLVITORS	ABSOLVITOR, legal decision absolving defendant [n]
ABSONANT	unnatural and unreasonable [adj]
ABSORB	soak up (a liquid) [v]
ABSORBABILITIES	<absorbability>
ABSORBABILITY	ABSORB, soak up (a liquid) [v]
ABSORBABLE	ABSORB, soak up (a liquid) [v]
ABSORBANCE	the ability to absorb radiation [n]
ABSORBANCES	ABSORBANCE, the ability to absorb radiation [n]
ABSORBANCIES	ABSORBANT, absorbent substance [n]
ABSORBANCY	ABSORBANT, absorbent substance [n]
ABSORBANT	absorbent substance [n]
ABSORBANTS	ABSORBANT, absorbent substance [n]
ABSORBATE	absorbed substance [n]
ABSORBATES	ABSORBATE, absorbed substance [n]
ABSORBED	engrossed [adj]
ABSORBEDLY	ABSORBED, engrossed [adj]
ABSORBEFACIENT	agent causing absorption [n]
ABSORBEFACIENTS	ABSORBEFACIENT, agent causing absorption [n]
ABSORBENCIES	ABSORBENT, able to absorb liquid [adj]
ABSORBENCY	ABSORBENT, able to absorb liquid [adj]
ABSORBENT	able to absorb liquid [adj] / substance that absorbs [n]
ABSORBENTS	ABSORBENT, able to absorb liquid [adj]
ABSORBER	thing that absorbs [n]
ABSORBERS	ABSORBER, thing that absorbs [n]
ABSORBING	occupying one's attention [adj]
ABSORBINGLY	ABSORBING, occupying one's attention [adj]
ABSORBS	ABSORB, soak up (a liquid) [v]
ABSORPTANCE	ratio of radiant flux absorbed [n]
ABSORPTANCES	ABSORPTANCE, ratio of radiant flux absorbed [n]
ABSORPTIOMETER	scientific instrument [n]
ABSORPTIOMETERS	ABSORPTIOMETER, scientific instrument [n]
ABSORPTION	the process of absorbing [n]
ABSORPTIONS	ABSORPTION, the process of absorbing [n]
ABSORPTIVE	ABSORPTION, the process of absorbing [n]
ABSORPTIVENESS	ABSORPTION, the process of absorbing [n]
ABSORPTIVITIES	ABSORPTION, the process of absorbing [n]
ABSORPTIVITY	ABSORPTION, the process of absorbing [n]
ABSQUATULATE	to decamp [v]
ABSQUATULATED	ABSQUATULATE, to decamp [v]
ABSQUATULATES	ABSQUATULATE, to decamp [v]
ABSQUATULATING	ABSQUATULATE, to decamp [v]
ABSTAIN	choose not to do something [v]
ABSTAINED	ABSTAIN, choose not to do something [v]
ABSTAINER	ABSTAIN, choose not to do something [v]
ABSTAINERS	ABSTAIN, choose not to do something [v]
ABSTAINING	ABSTAIN, choose not to do something [v]
ABSTAINS	ABSTAIN, choose not to do something [v]
ABSTEMIOUS	sparing [adj]
ABSTEMIOUSLY	ABSTEMIOUS, sparing [adj]
ABSTEMIOUSNESS	ABSTEMIOUS, sparing [adj]
ABSTENTION	the act of abstaining [n]
ABSTENTIONISM	ABSTENTION, the act of abstaining [n]
ABSTENTIONISMS	ABSTENTION, the act of abstaining [n]
ABSTENTIONIST	ABSTENTION, the act of abstaining [n]
ABSTENTIONISTS	ABSTENTION, the act of abstaining [n]
ABSTENTIONS	ABSTENTION, the act of abstaining [n]
ABSTENTIOUS	ABSTENTION, the act of abstaining [n]
ABSTERGE	cleanse [v]
ABSTERGED	ABSTERGE, cleanse [v]
ABSTERGENT	serving to cleanse [adj] / an abstergent substance [n]
ABSTERGENTS	ABSTERGENT, serving to cleanse [adj]
ABSTERGES	ABSTERGE, cleanse [v]
ABSTERGING	ABSTERGE, cleanse [v]
ABSTERSION	cleansing [n]
ABSTERSIONS	ABSTERSION, cleansing [n]
ABSTERSIVE	cleansing substance [n]
ABSTERSIVES	ABSTERSIVE, cleansing substance [n]
ABSTINENCE	forbearance [n]
ABSTINENCES	ABSTINENCE, forbearance [n]
ABSTINENCIES	ABSTINENCY, abstinence [n]
ABSTINENCY	abstinence [n]
ABSTINENT	refraining from a certain activity [adj]
ABSTINENTLY	ABSTINENCE, forbearance [n]
ABSTRACT	existing as an idea [adj] / summary [n] / summarize [v]
ABSTRACTABLE	ABSTRACT, existing as an idea [adj]
ABSTRACTED	ABSTRACT, existing as an idea [adj]
ABSTRACTEDLY	<abstracted>
ABSTRACTEDNESS	<abstracted>
ABSTRACTER	ABSTRACT, existing as an idea [adj]
ABSTRACTERS	ABSTRACT, existing as an idea [adj]
ABSTRACTEST	ABSTRACT, existing as an idea [adj]
ABSTRACTING	ABSTRACT, existing as an idea [adj]
ABSTRACTION	the act of abstracting [n]
ABSTRACTIONAL	ABSTRACTION, the act of abstracting [n]
ABSTRACTIONISM	creating abstract art [n]
ABSTRACTIONISMS	ABSTRACTIONISM, creating abstract art [n]
ABSTRACTIONIST	ABSTRACTIONISM, creating abstract art [n]
ABSTRACTIONISTS	<abstractionist>
ABSTRACTIONS	ABSTRACTION, the act of abstracting [n]
ABSTRACTIVE	ABSTRACTION, the act of abstracting [n]
ABSTRACTIVELY	ABSTRACTION, the act of abstracting [n]
ABSTRACTIVES	ABSTRACTION, the act of abstracting [n]
ABSTRACTLY	ABSTRACT, existing as an idea [adj]
ABSTRACTNESS	ABSTRACT, existing as an idea [adj]
ABSTRACTNESSES	ABSTRACT, existing as an idea [adj]
ABSTRACTOR	person making abstracts [n]
ABSTRACTORS	ABSTRACTOR, person making abstracts [n]
ABSTRACTS	ABSTRACT, existing as an idea [adj]
ABSTRICT	release [v]
ABSTRICTED	ABSTRICT, release [v]
ABSTRICTING	ABSTRICT, release [v]
ABSTRICTION	the act of abstricting [n]
ABSTRICTIONS	ABSTRICTION, the act of abstricting [n]
ABSTRICTS	ABSTRICT, release [v]
ABSTRUSE	not easy to understand [adj]
ABSTRUSELY	ABSTRUSE, not easy to understand [adj]
ABSTRUSENESS	ABSTRUSE, not easy to understand [adj]
ABSTRUSENESSES	ABSTRUSE, not easy to understand [adj]
ABSTRUSER	ABSTRUSE, not easy to understand [adj]
ABSTRUSEST	ABSTRUSE, not easy to understand [adj]
ABSTRUSITIES	ABSTRUSE, not easy to understand [adj]
ABSTRUSITY	ABSTRUSE, not easy to understand [adj]
ABSURD	incongruous or ridiculous [adj] / conception of the world [n]
ABSURDER	ABSURD, incongruous or ridiculous [adj]
ABSURDEST	ABSURD, incongruous or ridiculous [adj]
ABSURDISM	belief that life is meaningless [n]
ABSURDISMS	ABSURDISM, belief that life is meaningless [n]
ABSURDIST	ABSURDISM, belief that life is meaningless [n]
ABSURDISTS	ABSURDISM, belief that life is meaningless [n]
ABSURDITIES	ABSURD, incongruous or ridiculous [adj]
ABSURDITY	ABSURD, incongruous or ridiculous [adj]
ABSURDLY	ABSURD, incongruous or ridiculous [adj]
ABSURDNESS	ABSURD, incongruous or ridiculous [adj]
ABSURDNESSES	ABSURD, incongruous or ridiculous [adj]
ABSURDS	ABSURD, incongruous or ridiculous [adj]
ABTHANE	ancient Scottish church territory [n]
ABTHANES	ABTHANE, ancient Scottish church territory [n]
ABUBBLE	bubbling [adj]
ABUILDING	being built [adj]
ABULIA	pathological inability to take decisions [n]
ABULIAS	ABULIA, pathological inability to take decisions [n]
ABULIC	ABULIA, pathological inability to take decisions [n]
ABUNA	male head of Ethiopian family [n]
ABUNAS	ABUNA, male head of Ethiopian family [n]
ABUNDANCE	copious supply [n]
ABUNDANCES	ABUNDANCE, copious supply [n]
ABUNDANCIES	ABUNDANCY, abundance [n]
ABUNDANCY	abundance [n]
ABUNDANT	plentiful [adj]
ABUNDANTLY	ABUNDANT, plentiful [adj]
ABUNE	ABOVE, higher (than) [adv]
ABURST	bursting [adj]
ABUSABLE	ABUSE, use wrongly [v]
ABUSAGE	wrong use [n]
ABUSAGES	ABUSAGE, wrong use [n]
ABUSE	use wrongly [v] / prolonged ill-treatment [n]
ABUSED	ABUSE, use wrongly [v]
ABUSER	ABUSE, use wrongly [v]
ABUSERS	ABUSE, use wrongly [v]
ABUSES	ABUSE, use wrongly [v]
ABUSING	ABUSE, use wrongly [v]
ABUSION	wrong use or deception [n]
ABUSIONS	ABUSION, wrong use or deception [n]
ABUSIVE	rude or insulting [adj]
ABUSIVELY	ABUSIVE, rude or insulting [adj]
ABUSIVENESS	ABUSIVE, rude or insulting [adj]
ABUSIVENESSES	ABUSIVE, rude or insulting [adj]
ABUT	be next to or touching [v]
ABUTILON	shrub [n]
ABUTILONS	ABUTILON, shrub [n]
ABUTMENT	construction supporting the end of a bridge [n]
ABUTMENTS	ABUTMENT, construction supporting the end of a bridge [n]
ABUTS	ABUT, be next to or touching [v]
ABUTTAL	abutment (construction supporting the end of a bridge)
ABUTTALS	ABUTTAL [n]
ABUTTED	ABUT, be next to or touching [v]
ABUTTER	owner of adjoining property [n]
ABUTTERS	ABUTTER, owner of adjoining property [n]
ABUTTING	ABUT, be next to or touching [v]
ABUZZ	noisy, busy with activity etc [adj]
ABVOLT	unit of potential difference in the electromagnetic system [n]
ABVOLTS	ABVOLT, unit of potential difference in the electromagnetic system [n]
ABWATT	unit of power [n]
ABWATTS	ABWATT, unit of power [n]
ABY	pay the penalty for (archaic) [v]
ABYE	aby (pay the penalty for (archaic)) (archaic)
ABYED	ABYE (archaic) [v]
ABYEING	ABYE (archaic) [v]
ABYES	ABYE (archaic) [v]
ABYING	ABY, pay the penalty for (archaic) (archaic) [v]
ABYS	ABY, pay the penalty for (archaic) (archaic) [v]
ABYSM	ABYSS, very deep hole or chasm [n]
ABYSMAL	extremely bad, awful [adj]
ABYSMALLY	ABYSMAL, extremely bad, awful [adj]
ABYSMS	<abysm>
ABYSS	very deep hole or chasm [n]
ABYSSAL	of the ocean depths [adj]
ABYSSES	ABYSS, very deep hole or chasm [n]
ABYSSOPELAGIC	deepest regions of the ocean [adj]
ACACIA	tree or shrub [n]
ACACIAS	ACACIA, tree or shrub [n]
ACADEME	place of learning [n]
ACADEMES	ACADEME, place of learning [n]
ACADEMIA	academic world [n]
ACADEMIAS	ACADEMIA, academic world [n]
ACADEMIC	of a university [adj] / lecturer at a university [n]
ACADEMICAL	pupil of an academy [n]
ACADEMICALISM	ACADEMIC, of a university [adj]
ACADEMICALISMS	ACADEMIC, of a university [adj]
ACADEMICALLY	ACADEMIC, of a university [adj]
ACADEMICALS	ACADEMICAL, pupil of an academy [n]
ACADEMICIAN	a member of an academy [n]
ACADEMICIANS	ACADEMICIAN, a member of an academy [n]
ACADEMICISM	traditionalism or conventionalism in art, literature, etc [n]
ACADEMICISMS	ACADEMICISM, traditionalism or conventionalism in art, literature, etc [n]
ACADEMICS	ACADEMIC, of a university [adj]
ACADEMIES	ACADEMY, society for arts or sciences [n]
ACADEMISM	adherence to rules [n]
ACADEMISMS	ACADEMISM, adherence to rules [n]
ACADEMIST	ACADEMY, society for arts or sciences [n]
ACADEMISTS	ACADEMY, society for arts or sciences [n]
ACADEMY	society for arts or sciences [n]
ACAI	berry [n]
ACAIS	ACAI, berry [n]
ACAJOU	type of mahogany [n]
ACAJOUS	ACAJOU, type of mahogany [n]
ACALCULIA	inability to make calculations [n]
ACALCULIAS	ACALCULIA, inability to make calculations [n]
ACALEPH	invertebrate [n]
ACALEPHAE	ACALEPHE, acaleph [n]
ACALEPHAN	ACALEPH, invertebrate [n]
ACALEPHANS	<acalephan>
ACALEPHE	acaleph [n]
ACALEPHES	ACALEPHE, acaleph [n]
ACALEPHS	ACALEPH, invertebrate [n]
ACANACEOUS	thorny [adj]
ACANTH	acanthus [n]
ACANTHA	thorn or prickle [n]
ACANTHACEOUS	prickly [adj]
ACANTHAE	ACANTHA, thorn or prickle [n]
ACANTHAS	ACANTHA, thorn or prickle [n]
ACANTHI	ACANTHUS, prickly plant [n]
ACANTHIN	organic chemical [n]
ACANTHINE	of or resembling an acanthus [adj]
ACANTHINS	ACANTHIN, organic chemical [n]
ACANTHOCEPHALAN	parasitic worms [adj]
ACANTHOID	resembling a spine [adj]
ACANTHOUS	of an acanthus [adj]
ACANTHS	ACANTH, acanthus [n]
ACANTHUS	prickly plant [n]
ACANTHUSES	ACANTHUS, prickly plant [n]
ACAPNIA	lack of carbon dioxide [n]
ACAPNIAS	ACAPNIA, lack of carbon dioxide [n]
ACARBOSE	diabetes medicine [n]
ACARBOSES	ACARBOSE, diabetes medicine [n]
ACARI	ACARUS, type of mite [n]
ACARIAN	ACARUS, type of mite [n]
ACARIASES	ACARIASIS, infestation of hair [n]
ACARIASIS	infestation of hair [n]
ACARICIDAL	ACARICIDE, any drug for killing acarids [n]
ACARICIDE	any drug for killing acarids [n]
ACARICIDES	ACARICIDE, any drug for killing acarids [n]
ACARID	small arachnid [n] / of these arachnids [adj]
ACARIDAN	acarid (small arachnid)
ACARIDANS	ACARIDAN [n]
ACARIDEAN	ACARID, small arachnid [n]
ACARIDEANS	ACARID, small arachnid [n]
ACARIDIAN	ACARID, small arachnid [n]
ACARIDIANS	ACARID, small arachnid [n]
ACARIDOMATIA	ACARIDOMATIUM, where mites live [n]
ACARIDOMATIUM	where mites live [n]
ACARIDS	ACARID, small arachnid [n]
ACARINE	acarid [n]
ACARINES	ACARINE, acarid [n]
ACARODOMATIA	ACARODOMATIUM, acaridomatium [n]
ACARODOMATIUM	acaridomatium [n]
ACAROID	resembling a mite [adj]
ACAROLOGIES	ACAROLOGY, study of mites and ticks [n]
ACAROLOGIST	ACAROLOGY, study of mites and ticks [n]
ACAROLOGISTS	<acarologist>
ACAROLOGY	study of mites and ticks [n]
ACAROPHILIES	ACAROPHILY, association of mites and plants [n]
ACAROPHILY	association of mites and plants [n]
ACARPELLOUS	(of flowers) having no carpels [adj]
ACARPELOUS	acarpellous ((of flowers) having no carpels)
ACARPOUS	producing no fruit [adj]
ACARUS	type of mite [n]
ACATALECTIC	having a full number of syllables [adj] / poetic line [n]
ACATALECTICS	ACATALECTIC, having a full number of syllables [adj]
ACATALEPSIES	ACATALEPSY, absence of certain knowledge [n]
ACATALEPSY	absence of certain knowledge [n]
ACATALEPTIC	ACATALEPSY, absence of certain knowledge [n]
ACATALEPTICS	ACATALEPSY, absence of certain knowledge [n]
ACATAMATHESIA	inability to understand senses [n]
ACATAMATHESIAS	ACATAMATHESIA, inability to understand senses [n]
ACATER	buyer of provisions (archaic) [n]
ACATERS	ACATER, buyer of provisions (archaic) (archaic) [n]
ACATES	provisions (archaic) [n]
ACATHISIA	akathisia (inability to sit still because of uncontrollable movement caused by reaction to drugs)
ACATHISIAS	{akathisias}
ACATOUR	buyer of provisions (archaic) [n]
ACATOURS	ACATOUR, buyer of provisions (archaic) (archaic) [n]
ACAUDAL	having no tail [adj]
ACAUDATE	acaudal (having no tail)
ACAULESCENT	having a very short stem [adj]
ACAULINE	having no stem [adj]
ACAULOSE	acauline (having no stem)
ACAULOUS	having a short stem [adj]
ACCA	academic [n]
ACCABLE	dejected or beaten [adj]
ACCAS	ACCA, academic [n]
ACCEDE	consent or agree (to) [v]
ACCEDED	ACCEDE, consent or agree (to) [v]
ACCEDENCE	ACCEDE, consent or agree (to) [v]
ACCEDENCES	ACCEDE, consent or agree (to) [v]
ACCEDER	ACCEDE, consent or agree (to) [v]
ACCEDERS	ACCEDE, consent or agree (to) [v]
ACCEDES	ACCEDE, consent or agree (to) [v]
ACCEDING	ACCEDE, consent or agree (to) [v]
ACCELERABLE	ACCELERATE, to bring about earlier [v]
ACCELERANDO	getting quicker [adj] / musical piece that gets quicker [n]
ACCELERANDOS	ACCELERANDO, getting quicker [adj]
ACCELERANT	an accelerating agent [n]
ACCELERANTS	ACCELERANT, an accelerating agent [n]
ACCELERATE	to bring about earlier [v]
ACCELERATED	ACCELERATE, to bring about earlier [v]
ACCELERATES	ACCELERATE, to bring about earlier [v]
ACCELERATING	ACCELERATE, to bring about earlier [v]
ACCELERATINGLY	ACCELERATE, to bring about earlier [v]
ACCELERATION	rate velocity changes [n]
ACCELERATIONS	ACCELERATION, rate velocity changes [n]
ACCELERATIVE	ACCELERATE, to bring about earlier [v]
ACCELERATOR	something that accelerates [n]
ACCELERATORS	ACCELERATOR, something that accelerates [n]
ACCELERATORY	ACCELERATE, to bring about earlier [v]
ACCELEROMETER	an instrument for measuring acceleration, esp of an aircraft or rocket [n]
ACCELEROMETERS	ACCELEROMETER, an instrument for measuring acceleration, esp of an aircraft or rocket [n]
ACCEND	set alight [v]
ACCENDED	ACCEND, set alight [v]
ACCENDING	ACCEND, set alight [v]
ACCENDS	ACCEND, set alight [v]
ACCENSION	ACCEND, set alight [v]
ACCENSIONS	ACCEND, set alight [v]
ACCENT	style of pronunciation [n] / place emphasis on [v]
ACCENTED	ACCENT, style of pronunciation [n]
ACCENTING	ACCENT, style of pronunciation [n]
ACCENTLESS	ACCENT, style of pronunciation [n]
ACCENTOR	songbird [n]
ACCENTORS	ACCENTOR, songbird [n]
ACCENTS	ACCENT, style of pronunciation [n]
ACCENTUAL	of accents [adj]
ACCENTUALITIES	ACCENT, style of pronunciation [n]
ACCENTUALITY	ACCENT, style of pronunciation [n]
ACCENTUALLY	ACCENTUAL, of accents [adj]
ACCENTUATE	to emphasize [v]
ACCENTUATED	ACCENTUATE, to emphasize [v]
ACCENTUATES	ACCENTUATE, to emphasize [v]
ACCENTUATING	ACCENTUATE, to emphasize [v]
ACCENTUATION	ACCENTUATE, to emphasize [v]
ACCENTUATIONS	ACCENTUATE, to emphasize [v]
ACCEPT	receive willingly [v]
ACCEPTABILITIES	<acceptability>
ACCEPTABILITY	ACCEPTABLE, satisfactory [adj]
ACCEPTABLE	satisfactory [adj]
ACCEPTABLENESS	ACCEPTABLE, satisfactory [adj]
ACCEPTABLY	ACCEPTABLE, satisfactory [adj]
ACCEPTANCE	the act of accepting [n]
ACCEPTANCES	ACCEPTANCE, the act of accepting [n]
ACCEPTANCIES	ACCEPTANCY, acceptance [n]
ACCEPTANCY	acceptance [n]
ACCEPTANT	receiving willingly [adj]
ACCEPTANTS	ACCEPTANT, receiving willingly [adj]
ACCEPTATION	a kind reception [n]
ACCEPTATIONS	ACCEPTATION, a kind reception [n]
ACCEPTED	generally approved [adj]
ACCEPTEDLY	ACCEPTED, generally approved [adj]
ACCEPTEE	person who has been accepted [n]
ACCEPTEES	ACCEPTEE, person who has been accepted [n]
ACCEPTER	ACCEPT, receive willingly [v]
ACCEPTERS	ACCEPT, receive willingly [v]
ACCEPTILATION	cancellation of debt [n]
